epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
    0,             0.12638,            0.025707,            0.027939,          0.00026987,           0.0023148,           5.187e-05,          1.2375e-05,             0.11562,            0.022701,            0.025328,              0.0027,              0.0027,              0.0757
    1,             0.11742,            0.023899,            0.024213,           0.0004458,           0.0023148,          8.1272e-05,          1.0465e-05,             0.11295,             0.02163,            0.021631,            0.005456,            0.005456,            0.050456
    2,             0.11143,            0.024243,            0.019168,            0.032284,             0.11842,             0.02167,           0.0037744,             0.10522,            0.021202,            0.018112,           0.0081672,           0.0081672,            0.025167
    3,             0.10312,            0.024477,            0.015421,            0.062805,             0.16094,             0.02309,           0.0043699,             0.10341,             0.02141,            0.021603,             0.00976,             0.00976,             0.00976
    4,            0.094633,            0.023651,            0.010931,              0.1328,            0.090521,            0.025845,           0.0050178,            0.096426,            0.021536,            0.012517,             0.00976,             0.00976,             0.00976
    5,            0.089011,            0.024674,           0.0096123,            0.061558,             0.10514,            0.014453,            0.002988,            0.096386,            0.021281,            0.014762,             0.00968,             0.00968,             0.00968
    6,            0.084778,            0.023735,           0.0084936,             0.18496,             0.23416,            0.086924,             0.01895,            0.089299,            0.020164,           0.0086217,              0.0096,              0.0096,              0.0096
    7,            0.082485,            0.023034,           0.0064543,             0.15211,             0.29349,            0.081519,            0.016779,            0.084605,            0.018869,           0.0057309,             0.00952,             0.00952,             0.00952
    8,            0.081159,             0.02194,           0.0067898,             0.15753,             0.41971,             0.12593,            0.032344,            0.079325,            0.020746,           0.0047908,             0.00944,             0.00944,             0.00944
    9,            0.077698,            0.023131,           0.0061213,             0.20884,             0.24009,             0.11928,            0.029492,            0.080098,            0.019365,           0.0066568,             0.00936,             0.00936,             0.00936
    10,            0.078114,             0.02242,           0.0067958,             0.19031,              0.2087,            0.084325,            0.016773,            0.083682,             0.02112,            0.011851,             0.00928,             0.00928,             0.00928
    11,            0.076854,            0.023308,           0.0058588,             0.30359,             0.27205,             0.15113,            0.030341,            0.073943,             0.02042,           0.0042422,              0.0092,              0.0092,              0.0092
    12,            0.074822,            0.022355,            0.004008,              0.2516,             0.36087,             0.19333,            0.043557,            0.072093,             0.01778,           0.0027406,             0.00912,             0.00912,             0.00912
    13,            0.074566,            0.023024,           0.0051017,             0.21705,             0.30056,             0.15052,            0.034048,            0.077912,            0.017674,           0.0037281,             0.00904,             0.00904,             0.00904
    14,            0.074163,            0.022094,           0.0050557,             0.35388,             0.31594,             0.23481,            0.045665,            0.073513,            0.017456,           0.0039551,             0.00896,             0.00896,             0.00896
    15,             0.07437,             0.02153,           0.0037792,             0.33093,             0.30997,             0.24737,            0.053123,            0.071294,            0.017095,           0.0034724,             0.00888,             0.00888,             0.00888
    16,            0.072573,            0.022175,           0.0037679,             0.31299,             0.38572,             0.24145,            0.068028,            0.070358,            0.018218,           0.0036238,              0.0088,              0.0088,              0.0088
